t,obs,action,reward,seed
129,4.177492e-15,5.202949e-14,1.2917667e-13,2
130,4.177492e-15,5.202949e-14,1.2917667e-13,2
131,4.177492e-15,5.202949e-14,1.2917667e-13,2
132,4.177492e-15,5.202949e-14,1.2917667e-13,2
133,4.177492e-15,5.202949e-14,1.2917667e-13,2
134,4.177492e-15,5.202949e-14,1.2917667e-13,2
135,4.177492e-15,5.202949e-14,1.2917667e-13,2
136,4.177492e-15,5.202949e-14,1.2917667e-13,2
137,4.177492e-15,5.202949e-14,1.2917667e-13,2
138,4.177492e-15,5.202949e-14,1.2917667e-13,2
139,4.177492e-15,5.202949e-14,1.2917667e-13,2
140,4.177492e-15,5.202949e-14,1.2917667e-13,2
141,4.177492e-15,5.202949e-14,1.2917667e-13,2
142,4.177492e-15,5.202949e-14,1.2917667e-13,2
143,4.177492e-15,5.202949e-14,1.2917667e-13,2
144,4.177492e-15,5.202949e-14,1.2917667e-13,2
145,4.177492e-15,5.202949e-14,1.2917667e-13,2
146,4.177492e-15,5.202949e-14,1.2917667e-13,2
147,4.177492e-15,5.202949e-14,1.2917667e-13,2
148,4.177492e-15,5.202949e-14,1.2917667e-13,2
149,4.177492e-15,5.202949e-14,1.2917667e-13,2
150,4.177492e-15,5.202949e-14,1.2917667e-13,2
151,4.177492e-15,5.202949e-14,1.2917667e-13,2
152,4.177492e-15,5.202949e-14,1.2917667e-13,2
153,4.177492e-15,5.202949e-14,1.2917667e-13,2
154,4.177492e-15,5.202949e-14,1.2917667e-13,2
155,4.177492e-15,5.202949e-14,1.2917667e-13,2
156,4.177492e-15,5.202949e-14,1.2917667e-13,2
157,4.177492e-15,5.202949e-14,1.2917667e-13,2
158,4.177492e-15,5.202949e-14,1.2917667e-13,2
159,4.177492e-15,5.202949e-14,1.2917667e-13,2
160,4.177492e-15,5.202949e-14,1.2917667e-13,2
161,4.177492e-15,5.202949e-14,1.2917667e-13,2
162,4.177492e-15,5.202949e-14,1.2917667e-13,2
163,4.177492e-15,5.202949e-14,1.2917667e-13,2
164,4.177492e-15,5.202949e-14,1.2917667e-13,2
165,4.177492e-15,5.202949e-14,1.2917667e-13,2
166,4.177492e-15,5.202949e-14,1.2917667e-13,2
167,4.177492e-15,5.202949e-14,1.2917667e-13,2
168,4.177492e-15,5.202949e-14,1.2917667e-13,2
169,4.177492e-15,5.202949e-14,1.2917667e-13,2
170,4.177492e-15,5.202949e-14,1.2917667e-13,2
171,4.177492e-15,5.202949e-14,1.2917667e-13,2
172,4.177492e-15,5.202949e-14,1.2917667e-13,2
173,4.177492e-15,5.202949e-14,1.2917667e-13,2
174,4.177492e-15,5.202949e-14,1.2917667e-13,2
175,4.177492e-15,5.202949e-14,1.2917667e-13,2
176,4.177492e-15,5.202949e-14,1.2917667e-13,2
177,4.177492e-15,5.202949e-14,1.2917667e-13,2
178,4.177492e-15,5.202949e-14,1.2917667e-13,2
179,4.177492e-15,5.202949e-14,1.2917667e-13,2
180,4.177492e-15,5.202949e-14,1.2917667e-13,2
181,4.177492e-15,5.202949e-14,1.2917667e-13,2
182,4.177492e-15,5.202949e-14,1.2917667e-13,2
183,4.177492e-15,5.202949e-14,1.2917667e-13,2
184,4.177492e-15,5.202949e-14,1.2917667e-13,2
185,4.177492e-15,5.202949e-14,1.2917667e-13,2
186,4.177492e-15,5.202949e-14,1.2917667e-13,2
187,4.177492e-15,5.202949e-14,1.2917667e-13,2
188,4.177492e-15,5.202949e-14,1.2917667e-13,2
189,4.177492e-15,5.202949e-14,1.2917667e-13,2
190,4.177492e-15,5.202949e-14,1.2917667e-13,2
191,4.177492e-15,5.202949e-14,1.2917667e-13,2
192,4.177492e-15,5.202949e-14,1.2917667e-13,2
193,4.177492e-15,5.202949e-14,1.2917667e-13,2
194,4.177492e-15,5.202949e-14,1.2917667e-13,2
195,4.177492e-15,5.202949e-14,1.2917667e-13,2
196,4.177492e-15,5.202949e-14,1.2917667e-13,2
197,4.177492e-15,5.202949e-14,1.2917667e-13,2
198,4.177492e-15,5.202949e-14,1.2917667e-13,2
199,4.177492e-15,5.202949e-14,1.2917667e-13,2
0,6.2238293,1.2359221,48.528522,3
1,21.486814,1.2359221,47.938206,3
2,2.3929596,8.247795,36.573627,3
3,4.4370703e-05,0.66984487,0.00095247146,3
4,1.6066891e-10,1.740476e-05,4.7156106e-09,3
5,1.07825485e-11,3.735538e-11,3.0367317e-10,3
6,1.0779896e-11,2.9639756e-12,3.0365271e-10,3
7,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
8,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
9,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
10,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
11,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
12,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
13,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
14,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
15,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
16,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
17,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
18,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
19,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
